Part	Date	Quantity
AC009	2013-05-01	5244
AC009	2013-06-03	5577
AC009	2013-07-01	6850
AC009	2013-08-01	5738
AC009	2013-09-02	5678
AC009	2013-10-01	7076
AC009	2013-11-01	6016
AC009	2013-12-02	6933
AC009	2014-01-01	6058
AC009	2014-02-03	5723
AC009	2014-03-03	7282
AC009	2014-04-01	5966
AC009	2014-05-01	5798
AC009	2014-06-01	6119
AC009	2014-07-02	6809
AC009	2014-08-02	6125
AC009	2014-09-02	5767
AC009	2014-10-03	6077
AC009	2014-11-03	6767
AC009	2014-12-04	6083
AC009	2015-01-04	5724
AC009	2015-02-04	6035
AC009	2015-03-07	6725
AC009	2015-04-01	6041
AC009	2015-05-02	4993
AC009	2015-06-02	5993
AC009	2015-07-03	6682
AC009	2015-08-03	5999
AC009	2015-09-03	5640
AC009	2015-10-04	5951
