Part	Date	Quantity
AC002	2013-05-01	21425
AC002	2013-06-03	21044
AC002	2013-07-01	27557
AC002	2013-08-01	24569
AC002	2013-09-02	24214
AC002	2013-10-01	29475
AC002	2013-11-01	25196
AC002	2013-12-02	30477
AC002	2014-01-01	26180
AC002	2014-02-03	24848
AC002	2014-03-03	30288
AC002	2014-04-01	26218
AC002	2014-05-01	25489
AC002	2014-06-01	27392
AC002	2014-07-02	28279
AC002	2014-08-02	25911
AC002	2014-09-02	25253
AC002	2014-10-03	27077
AC002	2014-11-03	27964
AC002	2014-12-04	25596
AC002	2015-01-04	24939
AC002	2015-02-04	26762
AC002	2015-03-07	27649
AC002	2015-04-01	25282
AC002	2015-05-02	24624
AC002	2015-06-02	26448
AC002	2015-07-03	27335
AC002	2015-08-03	24967
AC002	2015-09-03	24309
AC002	2015-10-04	26133
